cod_amm	des_amm	Comune	nome_resp	cogn_resp	Cap	Provincia	Regione	sito_istituzionale	Indirizzo	titolo_resp	tipologia_istat	tipologia_amm	acronimo	cf_validato	cf	mail1	tipo_mail1	mail2	tipo_mail2	mail3	tipo_mail3	mail4	tipo_mail4	mail5	tipo_mail5	url_facebook	url_twitter	url_youtube	url_linkedin	liv_accessibili
c_670	Comune di Monticelli Pavese	Monticelli Pavese	Samanta	Pasqualin	27010	PV	Lombardia	https://www.comune.monticellipavese.pv.it/	Via Roma 11A	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00470500182	finanziario.comune.monticelli@pec.regione.lombardia.it	Pec	ANAGRAFE@COMUNE.MONTICELLIPAVESE.PV.IT	Altro	RAGIONERIA@COMUNE.MONTICELLIPAVESE.PV.IT	Altro	null	null	null	null					
c_707	Comune di Lozza	Lozza	Matteo	Acchini	21040	VA	Lombardia	www.comune.lozza.va.it	Piazza Roma	Legale rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00341780120	protocollo.comune.lozza@legalmail.it	Pec	segreteria@comune.lozza.va.it	Altro	null	null	null	null	null	null					
c_8ogv	Comune di Cerveno	Cerveno	Luigi Simone	Mondoni	25040	BS	Lombardia	www.comune.cerveno.bs.it	Piazza Prudenzini n.2	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00980200174	protocollo@pec.comune.cerveno.bs.it	Pec	info@comune.cerveno.bs.it	Altro	null	null	null	null	null	null					
c_92rb	Comune di Castelbianco	Castelbianco	FRANCO	AURAME	17030	SV	Liguria	www.comune.castelbianco.sv.it	Via Veravo N. 11	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00340200096	comune.castelbianco@legalmail.it	Pec	castelbianco@libero.it	Altro	null	null	null	null	null	null					
c_9gbx	Comune di Braies	Braies	Friedrich	Mittermair	39030	BZ	Trentino-Alto Adige/Südtirol	www.comune.braies.bz.it	Braies Di Dentro 40	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	81008120214	prags.braies@legalmail.it	Pec	info@comune.braies.bz.it	Altro	null	null	null	null	null	null					
c_a001	Comune di Abano Terme	Abano Terme	Federico	Barbierato	35031	PD	Veneto	www.comune.abanoterme.pd.it	Piazza Caduti, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00556230282	abanoterme.pd@cert.ip-veneto.net	Pec	protocollo@abanoterme.net	Altro	null	null	null	null	null	null					
c_a004	Comune di Abbadia Cerreto	Abbadia Cerreto	Danilo	Denti	26834	LO	Lombardia	www.comune.abbadiacerreto.lo.it	Via Dell'Abbazia, 7	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	84503440152	comune.abbadiacerreto@pec.regione.lombardia.it	Pec	null	null	null	null	null	null	null	null					
c_a005	Comune di Abbadia Lariana	Abbadia Lariana	Roberto Sergio	Azzoni	23821	LC	Lombardia	www.comune.abbadia-lariana.lc.it/	Via Nazionale, 120	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	83007090133	comune.abbadialariana@legalmail.it	Pec	finanziario@comune.abbadia-lariana.lc.it	Altro	info@comune.abbadia-lariana.lc.it	Altro	tributi@comune.abbadia-lariana.lc.it	Altro	null	null					
c_a006	Comune di Abbadia San Salvatore	Abbadia San Salvatore	Niccolo'	Volpini	53021	SI	Toscana	www.comune.abbadia.siena.it	Viale Roma, 2	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00221400526	comune.abbadia@postacert.toscana.it	Pec	comune@comune.abbadia.siena.it	Altro	null	null	null	null	null	null					
c_a007	Comune di Abbasanta	Abbasanta	Patrizia	Carta	09071	OR	Sardegna	www.comune.abbasanta.or.it	Via Garibaldi N. 144	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00068600956	protocollo@pec.comune.abbasanta.or.it	Pec	demografico@pec.comune.abbasanta.or.it	Pec	ragioneria@pec.comune.abbasanta.or.it	Pec	suap@pec.comune.abbasanta.or.it	Pec	ufficiotecnico@pec.comune.abbasanta.or.it	Pec					
c_a008	Comune di Abbateggio	Abbateggio	GABRIELE LUCIANO	DI PIERDOMENICO	65020	PE	Abruzzo	www.comune.abbateggio.pe.it	Via Roma, 8	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00172780686	comune.abbateggio@pec.it	Pec	comune@comune.abbateggio.pe.it	Altro	sindaco.abbateggio@gmail.com	Altro	null	null	null	null					
c_a010	Comune di Abbiategrasso	Abbiategrasso	Cesare Francesco	Nai	20081	MI	Lombardia	www.comune.abbiategrasso.mi.it	Piazza Guglielmo Marconi 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	01310880156	comune.abbiategrasso@legalpec.it	Pec	annamaria.dimaria@comune.abbiategrasso.mi.it	Altro	protocollo@comune.abbiategrasso.mi.it	Altro	null	null	null	null		https://twitter.com/comuneabbiate			
c_a013	Comune di Abriola	Abriola	Romano	Triunfo	85010	PZ	Basilicata	http://www.comune.abriola.pz.it	Via Passarelli, 3	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00238440762	comune.abriola@cert.ruparbasilicata.it	Pec	null	null	null	null	null	null	null	null					
c_a014	Comune di Acate	Acate	Giovanni Francesco	Fidone	97011	RG	Sicilia	www.comune.acate.rg.it	Piazza Liberta' 34	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00080280886	protocollo@pec.comune.acate.rg.it	Pec	info@comune.acate.rg.it	Altro	protocollo@comune.acate.rg.it	Altro	null	null	null	null	https://www.facebook.com/profile.php?id=100092752303101				
c_a015	Comune di Accadia	Accadia	Agostino	De Paolis	71021	FG	Puglia	www.comune.accadia.fg.it	Via Roma,1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	80002990713	protocollo@pec.comune.accadia.fg.it	Pec	anagrafe@comune.accadia.fg.it	Altro	elettorale@comune.accadia.fg.it	Altro	ragioneria@comune.accadia.fg.it	Altro	segreteria@comune.accadia.fg.it	Altro					
c_a016	Comune di Acceglio	Acceglio	Giovanni Enrico	CARANZANO	12021	CN	Piemonte	www.comune.acceglio.cn.it	Borgo Villa 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00481380046	comuneacceglio@pcert.postecert.it	Pec	info@comune.acceglio.cn.it	Altro	null	null	null	null	null	null					
c_a017	Comune di Accettura	Accettura	ALFONSO	VESPE	75011	MT	Basilicata	www.comune.accettura.mt.it	Via Roma	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	83001130778	comune.accettura@cert.ruparbasilicata.it	Pec	null	null	null	null	null	null	null	null					
c_a018	Comune di Acciano	Acciano	Fabio	Camilli	67020	AQ	Abruzzo	www.comune.acciano.aq.it	Via Roma N.7	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	83003750664	ACCIANOAQ@PEC.IT	Pec	null	null	null	null	null	null	null	null					
c_a019	Comune di Accumoli	Accumoli	Mauro	Tolomei	02011	RI	Lazio	www.comune.accumoli.ri.it	Via Salvator Tommasi, 44	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00113430573	comune.accumoli@pec.it	Pec	comune@comune.accumoli.ri.it	Altro	comuneaccumoli.fatture@pec.it	Pec	null	null	null	null					
c_a020	Comune di Acerenza	Acerenza	FERNANDO TEODORO MARIA	SCATTONE	85011	PZ	Basilicata	www.comune.acerenza.pz.it	Via Vittorio Emanuele III	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	80004220762	protocollo@pec.comune.acerenza.pz.it	Pec	tributi@comune.acerenza.pz.it	Altro	tributi@pec.comune.acerenza.pz.it	Pec	null	null	null	null					
c_a023	Comune di Acerno	Acerno	Massimiliano	Cuozzo	84042	SA	Campania	www.comune.acerno.sa.it	Via Rimembranza	Legale rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00552610651	protocollo@pec.comune.acerno.sa.it	Pec	anagrafe@pec.comune.acerno.sa.it	Pec	protocollo@comune.acerno.sa.it	Altro	ragioneria@pec.comune.acerno.sa.it	Pec	null	null					
c_a024	Comune di Acerra	Acerra	Tito	d'Errico	80011	NA	Campania	www.comune.acerra.na.it	Viale Della Democrazia, 21	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	80103960631	protocollo@pec.comune.acerra.na.it	Pec	protocollo@comune.acerra.na.it	Altro	sindaco@comune.acerra.na.it	Altro	null	null	null	null					
c_a025	Comune di Aci Bonaccorsi	Aci Bonaccorsi	Vito	Di Mauro	95020	CT	Sicilia	www.comune.acibonaccorsi.ct.it	Piazza Della Regione	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00210150876	protocollo@pec.comune.acibonaccorsi.ct.it	Pec	null	null	null	null	null	null	null	null					
c_a026	Comune di Aci Castello	Aci Castello	Carmelo	Scandurra	95021	CT	Sicilia	www.comune.acicastello.ct.it	Via Dante, 28	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	COMUNE DI ACI CASTELLO	S	00162000871	protocollo@pec.comune.acicastello.ct.it	Pec	null	null	null	null	null	null	null	null					
c_a027	Comune di Aci Catena	Aci Catena	Margherita Rita	FERRO	95022	CT	Sicilia	www.comune.acicatena.ct.it	Via Vittorio Emanuele, 4	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00146380878	comune.acicatena@pec.it	Pec	null	null	null	null	null	null	null	null					
c_a028	Comune di Acireale	Acireale	ROBERTO	BARBAGALLO	95024	CT	Sicilia	www.comune.acireale.ct.it	Via Lancaster, 13	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	81000970871	protocollo.comune.acireale@pec.it	Pec	null	null	null	null	null	null	null	null					
c_a029	Comune di Aci Sant'Antonio	Aci Sant'Antonio	Quintino	Rocca	95025	CT	Sicilia	https://www.comune.acisantantonio.ct.it/	Via Regina Margherita n.8	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00410340871	comune-acisantantonio@legalmail.it	Pec	anagrafe@pec.comune.acisantantonio.ct.it	Pec	statocivile@pec.comune.acisantantonio.ct.it	Pec	ufficioelettorale-comune-acisantantonio@legalmail.it	Pec	urbanistica-acisantantonio@legalmail.it	Pec					
c_a032	Comune di Acquafondata	Acquafondata	Marina	Di Meo	03040	FR	Lazio	www.comune.acquafondata.fr.it	Piazza Caduti, 5	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	81002150605	comuneacquafondata@cert-posta.it	Pec	acquafondata.ragioneria@virgilio.it	Altro	null	null	null	null	null	null					
c_a033	Comune di Acquaformosa	Acquaformosa	ANNALISA	MILIONE	87010	CS	Calabria	www.comune.acquaformosa.cs.it	Via San Francesco	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	83001070784	sindaco.acquaformosa@asmepec.it	Pec	demografico.acquaformosa@asmepec.it	Pec	protocollo.acquaformosa@asmepec.it	Pec	tecnico.acquaformosa@asmepec.it	Pec	null	null	https://www.facebook.com/comunediacquaformosa/				
c_a034	Comune di Acquafredda	Acquafredda	Maurizio	Donini	25010	BS	Lombardia	www.comune.acquafredda.bs.it	Via Della Repubblica, 14	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	85001290171	protocollo@pec.comune.acquafredda.bs.it	Pec	null	null	null	null	null	null	null	null					
c_a035	Comune di Acqualagna	Acqualagna	Pier-luigi	Grassi	61041	PU	Marche	www.comune.acqualagna.ps.it	Piazza Mattei,9	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00152230413	comune.acqualagna@emarche.it	Pec	comune.acqualagna@provincia.ps.it	Altro	null	null	null	null	null	null					
c_a038	Comune di Acquanegra sul Chiese	Acquanegra sul Chiese	Monica	De Pieri	46011	MN	Lombardia	www.comune.acquanegra.mn.it	Piazza XXV Aprile, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00413370206	acquanegrasulchiese.mn@legalmail.it	Pec	protocollo@comune.acquanegra.mn.it	Altro	null	null	null	null	null	null					
c_a039	Comune di Acquanegra Cremonese	Acquanegra Cremonese	Oreste Daniele	Bricchi	26020	CR	Lombardia	www.comune.acquanegra.cr.it	Via Stazione 128	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00304070196	comune.acquanegracremonese@pec.regione.lombardia.it	Pec	protocollo.comune.acquanegracr@pec.regione.lombardia.it	Pec	ragioneria@comune.acquanegra.cr.it	Altro	ufficiotecnico.comune.acquanegracr@pec.regione.lombardia.it	Pec	null	null					
c_a040	Comune di Acquapendente	Acquapendente	Alessandra	Terrosi	01021	VT	Lazio	www.comuneacquapendente.it	Piazza G.Fabrizio,17	Sindaca	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00080450562	comuneacquapendente@legalmail.it	Pec	null	null	null	null	null	null	null	null					
c_a041	Comune di Acquappesa	Acquappesa	FRANCESCO	TRIPICCHIO	87020	CS	Calabria	HTTPS://www.comune.acquappesa.cs.it	P.zza Municipio, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	86000150788	protocollo.acquappesa@asmepec.it	Pec	comune.acquappesa@libero.it	Altro	null	null	null	null	null	null					
c_a043	Comune di Acquaro	Acquaro	FRANCESCA	IANNO'	89832	VV	Calabria	www.comune.acquaro.vv.it	Piazza G. Marcioni	Commissario straordinario	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	COMUNE DI ACQUARO	S	00313680795	protocollo.acquaro@asmepec.it	Pec	llppacquaro@gmail.com	Altro	null	null	null	null	null	null					
c_a044	Comune di Acquasanta Terme	Acquasanta Terme	Sante	Stangoni	63095	AP	Marche	www.comune.acquasantaterme.ap.it	Piazza XX Settembre, 12	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00356080440	comune.acquasantaterme@anutelpec.it	Pec	ragioneria@comune.acquasantaterme.ap.it	Altro	null	null	null	null	null	null					
c_a045	Comune di Acquasparta	Acquasparta	GIOVANNI	MONTANI	05021	TR	Umbria	www.comune.acquasparta.tr.it	Corso Umberto Primo 31	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	80005310554	comune.acquasparta@postacert.umbria.it	Pec	segreteria@comune.acquasparta.tr	Altro	tecnico@comune.acquasparta.tr.it	Altro	tributi@comune.acquasparta.tr.it	Altro	urbanistica@comune.acquasparta.tr.it	Altro					
c_a047	Comune di Acquaviva Picena	Acquaviva Picena	Sante	INFRICCIOLI	63075	AP	Marche	www.comuneacquavivapicena.it	Via San Rocco n.9	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00376660445	protocollo@pec.comuneacquavivapicena.it	Pec	segreteria@comuneacquavivapicena.it	Altro	null	null	null	null	null	null	https://www.facebook.com/acquavivapicena				
c_a048	Comune di Acquaviva delle Fonti	Acquaviva delle Fonti	Marco	Lenoci	70021	BA	Puglia	www.comune.acquaviva.ba.it	Atrio Palazzo di Citta, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00869560722	protocollo.comuneacquaviva@pec.it	Pec	null	null	null	null	null	null	null	null	https://www.facebook.com/comune.acquavivadellefonti.9				
c_a049	Comune di Acquaviva Platani	Acquaviva Platani	Salvatore	Caruso	93010	CL	Sicilia	www.comune.acquavivaplatani.cl.it	Piazza Municipio	Legale rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	81000730853	protocollo.acquavivaplatani@legalmail.it	Pec	riscossionecreditiacquavivaplatani@legalmail.it	Pec	null	null	null	null	null	null					
C_A050	Comune di Acquaviva Collecroce	Acquaviva Collecroce	Francesco	Trolio	86030	CB	Molise	www.comune.acquavivacollecroce.cb.it	Piazza Nicola Neri, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	82000270700	comune.acquavivacollecrocecb@legalmail.it	Pec	comune.acquavivacollecroce@gmail.com	Altro	null	null	null	null	null	null					
c_a051	Comune di Acquaviva d'Isernia	Acquaviva d'Isernia	Francesca	Petrocelli	86080	IS	Molise	www.comune.acquavivadisernia.is.it	Corso Umberto I	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	80001830944	comuneacquavivadisernia@pec.it	Pec	acquavivadisernia@libero.it	Altro	null	null	null	null	null	null					
c_a052	Comune di Acqui Terme	Acqui Terme	Danilo	Rapetti Sardo Martini	15011	AL	Piemonte	www.comune.acquiterme.al.it/	Piazza Levi, 12	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00430560060	acqui.terme@cert.ruparpiemonte.it	Pec	protocollo@comune.acquiterme.al.it	Altro	null	null	null	null	null	null					
c_a053	Comune di Acri	Acri	Pino	Capalbo	87041	CS	Calabria	www.comune.acri.cs.it	Via Roma	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00388670788	protocollo.acri@pec.it	Pec	segreteria@comune.acri.cs.it	Altro	null	null	null	null	null	null					
c_a054	Comune di Acuto	Acuto	Augusto	Agostini	03010	FR	Lazio	www.comune.acuto.fr.it	Viale Giuseppe Germini, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00311740609	info@pec.comune.acuto.fr.it	Pec	null	null	null	null	null	null	null	null					
c_a055	Comune di Adelfia	Adelfia	Giuseppe	Cosola	70010	BA	Puglia	https://www.comune.adelfia.ba.it	Corso Vittorio Veneto, 122	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	80017830722	protocollo.adelfia@pec.rupar.puglia.it	Pec	affarigenerali.adelfia@pec.rupar.puglia.it	Pec	anagrafe.adelfia@pec.rupar.puglia.it	Pec	elettorale.adelfia@pec.rupar.puglia.it	Pec	municipale.adelfia@pec.rupar.puglia.it	Pec					
c_a056	Comune di Adrano	Adrano	Fabio	Mancuso	95031	CT	Sicilia	www.comune.adrano.ct.it	Via Aurelio Spampinato, 28	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	80001490871	protocollo@pec.comune.adrano.ct.it	Pec	null	null	null	null	null	null	null	null					
c_a057	Comune di Adrara San Martino	Adrara San Martino	INES	CONSOLI	24060	BG	Lombardia	www.comune.adrarasm.bg.it	Piazza Umberto I, 26	Legale rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00712970169	protocollo.comune.adrarasanmartino@pec.regione.lombardia.it	Pec	segreteria.protocollo@comune.adrarasm.bg.it	Altro	null	null	null	null	null	null					
c_a058	Comune di Adrara San Rocco	Adrara San Rocco	TIZIANO	PICCIOLI CAPPELLI	24060	BG	Lombardia	www.comune.adrarasanrocco.bg.it	Via Marconi, 2	Legale rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00712980168	comune.adrarasanrocco.bg@pec.it	Pec	protocollo@comune.adrarasanrocco.bg.it	Altro	null	null	null	null	null	null					
c_a059	Comune di Adria	Adria	Massimo	Barbujani	45011	RO	Veneto	www.comune.adria.ro.it	Corso Vittorio Emanuele II, 49	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	81002900298	protocollo.comune.adria.ro@pecveneto.it	Pec	null	null	null	null	null	null	null	null	https://www.facebook.com/ComuneDiAdria		https://www.youtube.com/channel/UCfADikNRMNIBCbi5Moms9Uw		
c_a060	Comune di Adro	Adro	DAVIDE	MORETTI	25030	BS	Lombardia	www.comune.adro.bs.it	Via Tullio Dandolo 55	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	82000850170	comunediadro@cert.legalmail.it	Pec	null	null	null	null	null	null	null	null					
c_a061	Comune di Affi	Affi	Marco Giacomo	Sega	37010	VR	Veneto	www.comune.affi.vr.it	Via Della Repubblica, 9	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00683030233	protocollo@pec.comune.affi.vr.it	Pec	servizi@comune.affi.vr.it	Altro	null	null	null	null	null	null					
c_a062	Comune di Affile	Affile	PAOLO	PACIFICI	00021	RM	Lazio	http://www.comune.affile.rm.it	Via Luigi Naddeo, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	86000950583	ragioneria@pec.comune.affile.rm.it	Pec	anagrafe-protocollo@pec.comune.affile.rm.it	Pec	null	null	null	null	null	null					
c_a064	Comune di Afragola	Afragola	Antonio	Pannone	80021	NA	Campania	www.comune.afragola.na.it	Piazza Municipio, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	80047540630	protocollo@pec.comune.afragola.na.it	Pec	null	null	null	null	null	null	null	null					
c_a065	Comune di Africo	Africo	Domenico	Modaffari	89030	RC	Calabria	www.comune.africo.rc.it	Piazza MUNICIPIO, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	81000830802	protocollo.africo@asmepec.it	Pec	protocollo@comune.africo.rc.it	Altro	null	null	null	null	null	null					
